,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
138,617137.0,unknown,0.0,0.0,False,1,True,False,CuauhtÃ©moc,19.44614,-99.15868,Shared room,2,1.5,1.0,1.0,True,False,False,True,False,False,False,False,2000.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
298,3923137.0,a few days or more,0.0,0.0,False,3,True,False,CuauhtÃ©moc,19.41772,-99.17836,Shared room,2,1.0,1.0,2.0,False,False,False,False,False,False,False,False,879.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,3,0.0
301,3938955.0,within an hour,1.0,0.97,True,1,True,True,CuauhtÃ©moc,19.40842,-99.17385,Shared room,1,1.0,1.0,0.0,True,False,False,False,False,False,True,False,333.0,2,11,135,106,22,4.93,4.93,4.9,5.0,5.0,5.0,4.9,False,1,1.2
365,5272066.0,within an hour,1.0,0.88,False,2,True,True,CoyoacÃ¡n,19.32944,-99.16091,Shared room,2,2.0,1.0,3.0,False,False,False,True,True,False,True,True,200.0,1,1125,349,9,6,5.0,4.89,4.67,4.89,5.0,4.78,4.89,False,2,0.11
400,5434219.0,within a few hours,0.8,1.0,False,2,True,True,CuauhtÃ©moc,19.43883,-99.15283,Shared room,16,8.0,1.0,18.0,True,False,False,False,False,False,False,True,300.0,1,1125,363,22,1,4.5,4.77,4.55,4.68,4.73,4.77,4.59,True,2,0.25
511,6076798.0,within an hour,1.0,1.0,False,2,True,True,Venustiano Carranza,19.44329,-99.10947,Shared room,12,3.0,1.0,12.0,True,False,False,True,False,False,False,True,450.0,1,1125,345,60,15,4.8,4.8,4.92,4.93,4.9,4.68,4.92,True,1,0.67
523,6312611.0,within a day,1.0,0.0,False,1,True,True,CuauhtÃ©moc,19.42006,-99.15327,Shared room,1,1.0,1.0,1.0,True,False,False,True,False,False,False,False,200.0,1,1125,265,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
535,6972071.0,within a few hours,0.87,0.36,False,59,True,True,CuauhtÃ©moc,19.42884,-99.13573,Shared room,16,4.0,1.0,16.0,True,False,False,True,False,False,True,False,1500.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,19,0.0
715,7933584.0,within an hour,0.96,0.91,False,1,True,True,CuauhtÃ©moc,19.42818,-99.16122,Shared room,12,5.0,1.0,8.0,True,False,False,False,False,False,True,True,245.0,1,1125,361,64,36,4.58,4.66,4.47,4.77,4.73,4.84,4.53,False,1,0.89
801,8357397.0,within an hour,1.0,0.88,False,2,True,True,CoyoacÃ¡n,19.33435,-99.16144,Shared room,2,2.0,1.0,3.0,False,False,True,True,True,False,True,True,200.0,2,1125,350,1,0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,False,2,0.01
1224,11964525.0,unknown,0.0,0.0,False,1,True,True,CuauhtÃ©moc,19.40665,-99.15955,Shared room,2,1.0,1.0,2.0,True,False,False,True,False,False,False,False,3800.0,4,34,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
1397,13221271.0,within a few hours,0.87,0.36,False,59,True,True,CuauhtÃ©moc,19.42889,-99.13582,Shared room,16,1.0,1.0,16.0,True,False,False,False,False,False,True,False,1200.0,1,1125,363,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,19,0.0
1419,13591658.0,within an hour,1.0,0.93,False,20,True,True,Cuajimalpa de Morelos,19.36783,-99.26906,Shared room,2,1.0,1.0,2.0,True,False,False,True,False,False,False,True,799.0,1,1124,360,16,0,4.75,5.0,4.69,4.75,4.88,4.94,4.88,False,20,0.25
1439,13622872.0,within an hour,1.0,0.93,False,20,True,True,Cuajimalpa de Morelos,19.36686,-99.26983,Shared room,4,1.0,1.0,2.0,True,False,False,True,False,False,True,True,799.0,1,1125,356,12,0,4.67,4.83,4.92,4.92,4.92,4.92,4.75,False,20,0.19
1440,13293812.0,a few days or more,0.0,0.0,False,1,True,True,Iztapalapa,19.37201,-99.0367,Shared room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,222.0,1,1125,89,2,0,4.5,4.5,4.5,4.5,4.5,5.0,5.0,True,1,0.03
1803,15165035.0,unknown,0.0,0.0,False,1,True,False,Ãlvaro ObregÃ³n,19.33251,-99.23823,Shared room,3,1.0,1.0,1.0,False,False,False,False,False,False,False,False,12000.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
1867,15720173.0,a few days or more,0.0,0.0,False,1,True,False,CoyoacÃ¡n,19.32671,-99.13942,Shared room,1,2.0,1.0,4.0,True,False,False,False,False,False,True,False,396.0,1,30,90,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
1968,16011942.0,within a few hours,0.67,0.44,False,4,True,True,Iztacalco,19.39700973,-99.06567885,Shared room,1,1.0,1.0,3.0,True,False,False,False,True,False,True,True,201.0,1,7,81,49,0,4.53,4.65,4.82,4.81,4.79,4.67,4.63,True,3,0.69
1973,16032189.0,within a few hours,0.67,0.44,False,4,True,True,Iztacalco,19.39872404,-99.0652913,Shared room,1,1.0,1.0,3.0,True,False,False,False,False,False,True,False,200.0,1,7,83,2,0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,True,3,0.03
2159,16726113.0,unknown,0.0,0.0,False,3,True,True,Venustiano Carranza,19.45021,-99.09209,Shared room,2,1.0,1.0,2.0,True,False,False,False,False,False,False,False,300.0,1,5,358,12,0,4.75,5.0,4.92,4.92,4.92,5.0,4.75,False,2,0.17
2357,17370011.0,a few days or more,0.0,0.0,False,1,True,False,CuauhtÃ©moc,19.46031,-99.14565,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,350.0,1,30,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
2407,17704194.0,within an hour,0.88,1.0,False,2,True,True,CoyoacÃ¡n,19.3176612,-99.1654416,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,253.0,1,365,356,2,2,3.5,3.5,4.5,4.0,4.5,4.5,3.0,True,2,0.91
2417,17721518.0,within an hour,0.88,1.0,False,2,True,True,CoyoacÃ¡n,19.32172,-99.16194,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,203.0,1,1125,170,19,9,4.42,4.63,4.63,4.95,4.84,4.84,4.53,True,2,0.32
2540,17964379.0,within an hour,1.0,0.5,False,3,True,False,CoyoacÃ¡n,19.31947,-99.14869,Shared room,1,1.0,1.0,1.0,False,False,False,False,False,False,False,False,399.0,1,1125,0,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,2,0.0
2605,18451165.0,unknown,0.0,0.0,False,1,True,False,Benito JuÃ¡rez,19.36154,-99.15249,Shared room,2,1.0,1.0,1.0,False,False,False,False,False,False,False,False,10001.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
2628,18139570.0,a few days or more,0.1,0.0,False,2,True,True,CuauhtÃ©moc,19.41887,-99.16878,Shared room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,550.0,1,1125,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
2719,18961868.0,unknown,0.0,1.0,False,1,True,True,CuauhtÃ©moc,19.42833,-99.15497,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,400.0,1,1125,179,1,0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,False,1,0.02
2752,19037182.0,within a few hours,1.0,0.88,False,1,True,False,Iztacalco,19.3971,-99.10629,Shared room,2,1.0,1.0,2.0,True,False,False,False,False,False,False,False,720.0,2,1125,78,14,3,4.86,5.0,5.0,5.0,4.93,4.71,4.93,False,1,0.24
2838,19197330.0,a few days or more,0.0,0.0,False,1,True,False,CoyoacÃ¡n,19.30091,-99.15932,Shared room,8,1.0,1.0,7.0,True,False,False,False,False,False,False,False,329.0,30,365,365,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.02
2889,19333425.0,a few days or more,0.0,0.0,False,2,True,False,Tlalpan,19.28528,-99.22093,Shared room,2,1.5,1.0,2.0,True,False,False,False,False,False,False,False,226.0,120,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,2,0.0
2983,19509304.0,within a day,0.85,0.96,False,3,True,True,CuauhtÃ©moc,19.44147,-99.16485,Shared room,4,1.5,1.0,2.0,True,False,False,False,False,True,False,False,730.0,2,100,326,118,6,4.86,4.87,4.74,4.97,4.91,4.84,4.79,True,3,1.86
3251,20820482.0,a few days or more,0.0,0.0,False,3,True,True,Benito JuÃ¡rez,19.36113,-99.14758,Shared room,1,3.0,1.0,3.0,True,False,False,False,False,False,False,False,270.0,1,1125,365,10,0,4.9,4.9,4.8,4.8,5.0,5.0,4.8,False,3,0.17
3256,20833518.0,a few days or more,0.0,0.0,False,1,True,False,Miguel Hidalgo,19.44359,-99.16647,Shared room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,300.0,2,6,364,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.02
3375,21153091.0,within an hour,1.0,0.96,True,2,True,True,CuauhtÃ©moc,19.4118,-99.14451,Shared room,2,1.5,1.0,1.0,True,False,False,False,False,False,False,False,250.0,1,15,9,28,2,4.79,4.89,4.32,4.96,5.0,4.86,4.75,True,2,0.47
3467,21279761.0,a few days or more,0.0,0.0,False,2,True,False,Venustiano Carranza,19.42377,-99.08804,Shared room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,400.0,1,1125,176,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,2,0.0
3485,21314149.0,unknown,0.0,0.0,False,1,True,False,Venustiano Carranza,19.41116,-99.12539,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,270.0,1,1125,87,1,0,0.0,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.02
3504,21526638.0,unknown,0.0,0.0,False,1,True,True,Miguel Hidalgo,19.40102,-99.17654,Shared room,2,1.5,1.0,1.0,True,False,False,True,False,False,True,False,450.0,14,1125,179,14,0,4.77,4.77,4.77,5.0,4.54,5.0,4.92,False,1,0.24
3524,21551489.0,a few days or more,0.0,0.0,False,1,True,False,Tlalpan,19.28482,-99.14765,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,200.0,5,7,365,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,0.02
3596,21819110.0,unknown,0.0,0.0,False,1,False,False,Miguel Hidalgo,19.44445,-99.17778,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,192.0,10,10,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
3982,22927533.0,within a few hours,1.0,1.0,False,2,True,True,Benito JuÃ¡rez,19.35951,-99.15808,Shared room,1,1.0,1.0,1.0,True,False,False,False,True,False,True,False,520.0,5,30,233,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,2,0.02
4387,24183514.0,within a day,0.8,0.0,False,1,True,False,CuauhtÃ©moc,19.44979,-99.13706,Shared room,2,1.0,1.0,1.0,True,False,False,False,False,True,False,False,200.0,3,7,172,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.02
4389,24250847.0,a few days or more,0.0,0.0,False,1,True,False,Tlalpan,19.26477,-99.2006,Shared room,4,1.0,1.0,1.0,True,False,False,False,False,False,False,True,300.0,2,18,90,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
4399,24272530.0,a few days or more,0.33,1.0,False,7,True,True,Miguel Hidalgo,19.44803,-99.18615,Shared room,1,1.0,1.0,1.0,True,False,False,True,False,False,False,True,413.0,1,60,363,8,0,4.88,4.38,4.88,4.63,4.88,4.63,4.88,False,3,0.16
4577,24995178.0,a few days or more,0.33,1.0,False,1,True,False,Iztapalapa,19.34271,-99.06489,Shared room,2,1.0,1.0,1.0,True,False,False,True,False,False,False,False,240.0,1,1125,365,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,0.31
4580,24822788.0,a few days or more,0.0,0.0,False,3,True,False,Benito JuÃ¡rez,19.3972,-99.15737,Shared room,5,1.0,1.0,5.0,True,False,False,False,False,False,False,False,1000.0,2,1125,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,3,0.0
4826,25978305.0,a few days or more,0.0,0.0,False,1,True,False,CuauhtÃ©moc,19.41024,-99.17842,Shared room,3,1.0,1.0,2.0,True,False,False,False,False,False,False,False,560.0,2,30,365,1,0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,True,1,0.02
4986,26687899.0,unknown,0.0,0.0,False,1,True,False,Venustiano Carranza,19.42141,-99.1161,Shared room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,7141.0,1,15,89,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
5000,26710365.0,unknown,0.0,0.5,False,1,True,True,Tlalpan,19.291,-99.11843,Shared room,2,1.0,1.0,2.0,True,False,False,False,False,False,False,False,300.0,2,365,179,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.04
5025,26772017.0,unknown,0.0,0.0,False,1,True,True,Cuajimalpa de Morelos,19.32502,-99.29182,Shared room,3,1.0,1.0,1.0,True,False,False,False,False,False,False,False,1300.0,1,7,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
5213,27656261.0,unknown,0.0,0.0,False,1,True,False,La Magdalena Contreras,19.30564,-99.26347,Shared room,1,2.0,1.0,1.0,True,False,False,False,False,False,False,True,600.0,1,6,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
5347,28085154.0,unknown,0.0,0.0,False,1,True,False,Milpa Alta,19.18735,-99.07146,Shared room,2,1.0,1.0,1.0,False,False,False,False,False,False,False,False,550.0,1,2,177,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
5441,28346421.0,unknown,0.0,0.0,False,1,True,False,CuauhtÃ©moc,19.41657,-99.15377,Shared room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,1300.0,1,30,365,2,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,True,1,0.04
5609,29219909.0,a few days or more,0.33,1.0,False,7,True,True,Miguel Hidalgo,19.44809,-99.18555,Shared room,1,1.0,1.0,1.0,True,False,False,True,False,False,False,False,413.0,1,60,365,8,0,5.0,5.0,5.0,4.88,5.0,5.0,5.0,False,3,0.17
5776,29849738.0,within an hour,0.98,1.0,False,9,True,True,CuauhtÃ©moc,19.40444,-99.16269,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,143.0,1,180,365,16,3,4.25,4.13,4.19,4.63,4.63,4.56,4.0,True,9,0.38
5792,29608797.0,within a day,0.5,0.0,False,1,True,False,CuauhtÃ©moc,19.45862,-99.14072,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,300.0,1,1125,179,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
5800,29881852.0,within a day,0.5,1.0,False,2,True,False,Miguel Hidalgo,19.44713,-99.21094,Shared room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,700.0,2,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,2,0.0
5830,29940479.0,within a few hours,1.0,0.31,False,3,True,True,CoyoacÃ¡n,19.34279,-99.17109,Shared room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,450.0,1,1125,81,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.03
5837,29658935.0,within a day,0.5,1.0,False,1,True,True,Ãlvaro ObregÃ³n,19.36731,-99.20276,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,500.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
5997,30512284.0,a few days or more,0.0,0.0,False,1,True,False,Benito JuÃ¡rez,19.39029,-99.15698,Shared room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,700.0,1,1125,364,1,0,0.0,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.02
6183,30954061.0,unknown,0.0,0.0,False,1,True,False,CuauhtÃ©moc,19.43568,-99.16881,Shared room,1,1.0,1.0,1.0,False,False,False,False,False,False,False,False,599.0,1,1125,89,1,0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,True,1,0.07
6231,31518641.0,a few days or more,0.0,0.0,False,1,True,False,CuauhtÃ©moc,19.45321,-99.14733,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,250.0,1,7,180,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
6271,31588864.0,within a day,0.5,0.67,False,3,True,True,TlÃ¡huac,19.28085,-99.05478,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,200.0,1,1125,179,4,1,3.5,3.75,2.75,3.5,4.0,3.5,3.0,False,2,0.11
6296,31639592.0,within an hour,1.0,0.97,False,5,True,True,CuauhtÃ©moc,19.44977,-99.15633,Shared room,3,1.0,1.0,3.0,True,False,False,False,True,False,False,True,650.0,2,1125,365,5,0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,True,5,0.11
6417,32058047.0,within a few hours,0.75,0.33,False,5,True,True,Benito JuÃ¡rez,19.3598,-99.15468,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,1000.0,1,1125,365,1,0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,True,1,0.02
6463,31883189.0,within an hour,1.0,1.0,True,6,True,True,CuauhtÃ©moc,19.44989,-99.16035,Shared room,12,3.5,1.0,18.0,True,False,True,False,True,False,True,True,330.0,2,1125,179,8,0,4.75,4.88,4.75,5.0,5.0,5.0,4.38,False,6,0.18
6573,32316684.0,within an hour,1.0,1.0,True,6,True,True,CuauhtÃ©moc,19.44828,-99.16225,Shared room,12,3.5,1.0,18.0,True,False,True,False,False,False,True,True,330.0,2,1125,364,3,0,4.67,4.67,4.67,4.67,4.67,5.0,4.67,False,6,0.07
6644,32381892.0,within an hour,1.0,1.0,True,6,True,True,CuauhtÃ©moc,19.45009,-99.16198,Shared room,12,3.0,1.0,18.0,True,False,False,False,True,False,True,True,321.0,2,1125,180,17,7,4.88,5.0,4.88,5.0,4.94,4.94,4.94,False,6,0.39
6708,32475002.0,within an hour,1.0,1.0,False,1,True,True,Ãlvaro ObregÃ³n,19.38345,-99.2001,Shared room,1,1.0,1.0,1.0,True,False,True,False,True,False,False,True,250.0,1,365,357,3,3,3.67,4.67,4.67,4.33,4.33,4.33,4.33,True,1,0.46
6725,32501619.0,within an hour,1.0,1.0,True,6,True,True,CuauhtÃ©moc,19.4481,-99.16179,Shared room,10,3.5,1.0,18.0,True,False,False,False,False,False,True,True,330.0,2,1125,364,3,0,4.33,5.0,5.0,5.0,4.67,5.0,5.0,False,6,0.07
6763,32822267.0,a few days or more,0.0,0.0,False,2,True,True,CoyoacÃ¡n,19.30985,-99.17269,Shared room,6,1.0,1.0,6.0,True,False,False,False,False,False,False,False,3000.0,30,180,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,2,0.0
6787,32847824.0,within an hour,0.98,1.0,False,9,True,True,CuauhtÃ©moc,19.40444,-99.16269,Shared room,1,1.0,1.0,2.0,True,False,False,False,False,False,False,False,134.0,1,180,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,9,0.0
6881,33169462.0,unknown,0.0,0.0,False,1,True,False,CoyoacÃ¡n,19.31864,-99.17257,Shared room,4,1.0,1.0,3.0,True,False,False,False,False,False,False,False,400.0,3,30,358,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1,0.02
6894,32994838.0,unknown,0.0,1.0,False,1,True,False,Benito JuÃ¡rez,19.39205,-99.14208,Shared room,4,1.0,1.0,1.0,True,False,False,True,False,False,False,False,214.0,1,15,0,9,1,4.56,4.56,4.44,4.33,4.56,4.56,4.44,False,1,0.21
7076,33719507.0,within an hour,1.0,1.0,False,6,True,True,Benito JuÃ¡rez,19.39257,-99.16286,Shared room,2,1.5,1.0,1.0,True,False,False,False,False,False,True,False,260.0,1,50,365,56,5,4.84,4.86,4.77,4.91,4.96,4.96,4.93,True,6,1.35
7132,33816608.0,within an hour,1.0,0.95,False,3,True,True,Iztacalco,19.39862,-99.09517,Shared room,1,1.5,1.0,0.0,True,False,False,False,True,False,False,True,300.0,1,1125,162,45,21,4.82,4.89,4.89,4.87,4.87,4.96,4.8,True,3,1.11
7240,34226890.0,a few days or more,0.0,0.0,False,1,True,True,Tlalpan,19.26399,-99.16803,Shared room,2,1.0,1.0,2.0,True,False,False,False,False,False,False,True,400.0,1,1125,268,1,0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,True,1,0.02
7270,34600699.0,within an hour,0.8,1.0,False,7,True,True,CuauhtÃ©moc,19.43109,-99.13571,Shared room,1,1.0,1.0,8.0,True,False,False,False,False,False,False,True,292.0,1,365,35,6,5,4.33,5.0,4.67,4.67,5.0,4.83,4.67,True,7,0.17
7383,34754206.0,unknown,0.0,0.0,False,1,True,False,Venustiano Carranza,19.44449,-99.09861,Shared room,4,2.0,1.0,4.0,True,False,False,False,False,False,False,False,1500.0,1,1125,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
7419,34889993.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42703,-99.13772,Shared room,2,4.5,1.0,2.0,True,False,False,False,False,False,False,False,195.0,1,1125,79,11,4,5.0,5.0,5.0,5.0,5.0,4.91,5.0,True,20,0.28
7449,34939727.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42803,-99.13826,Shared room,1,4.5,1.0,6.0,True,False,False,False,False,False,False,True,174.0,1,30,80,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,20,0.17
7450,35114896.0,within an hour,0.8,1.0,False,7,True,True,CuauhtÃ©moc,19.4295,-99.13583,Shared room,1,1.0,1.0,6.0,True,False,False,False,False,False,False,True,325.0,1,365,34,3,2,3.67,3.67,3.67,3.67,3.67,3.67,3.67,True,7,0.14
7452,35115936.0,within an hour,0.8,1.0,False,7,True,True,CuauhtÃ©moc,19.42972,-99.13564,Shared room,1,1.0,1.0,6.0,True,False,False,False,False,False,False,True,344.0,1,365,44,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,7,0.21
7455,34942038.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42754,-99.1379,Shared room,1,4.0,1.0,2.0,True,False,False,False,False,False,False,True,260.0,1,30,80,2,0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,True,20,0.05
7489,35003403.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42827,-99.13854,Shared room,2,4.0,1.0,2.0,True,False,False,False,False,False,False,True,248.0,1,30,80,21,6,4.9,4.86,4.76,4.9,5.0,5.0,4.71,True,20,0.52
7490,35004257.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42744,-99.13983,Shared room,1,4.0,1.0,1.0,True,False,False,False,False,False,False,True,260.0,1,30,80,3,0,5.0,5.0,4.67,5.0,5.0,5.0,4.67,True,20,0.08
7497,35009998.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42845,-99.13941,Shared room,2,4.0,1.0,2.0,True,False,False,False,False,False,False,True,260.0,1,30,258,18,0,4.89,5.0,4.94,4.94,5.0,5.0,4.94,True,20,0.44
7526,35050307.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42786,-99.13985,Shared room,1,4.0,1.0,2.0,True,False,False,False,False,False,True,True,260.0,1,30,80,10,0,5.0,4.9,5.0,5.0,5.0,5.0,5.0,True,20,0.25
7527,35050591.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.427299,-99.138901,Shared room,1,4.0,1.0,2.0,True,False,False,False,False,False,False,True,260.0,1,30,80,31,0,4.77,4.77,4.81,4.81,4.84,4.87,4.71,True,20,0.77
7529,35051393.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42651,-99.13962,Shared room,1,4.5,1.0,2.0,True,False,False,False,False,False,False,True,260.0,1,30,80,20,0,4.9,4.85,5.0,4.95,5.0,5.0,4.9,True,20,0.5
7530,35052330.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42631,-99.13778,Shared room,1,4.0,1.0,2.0,True,False,False,False,False,False,False,True,249.0,1,30,79,31,1,4.87,4.94,4.81,4.94,4.94,4.97,4.9,True,20,0.78
7532,35056443.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42846,-99.13853,Shared room,1,4.0,1.0,1.0,True,False,False,False,False,False,False,True,248.0,1,30,80,5,0,5.0,5.0,4.8,5.0,5.0,5.0,5.0,True,20,0.13
7534,35056607.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42848,-99.13942,Shared room,1,4.0,1.0,1.0,True,False,False,False,False,False,False,True,248.0,1,30,80,15,1,4.67,5.0,5.0,5.0,5.0,5.0,4.8,True,20,0.39
7536,35057956.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42815,-99.13789,Shared room,1,4.0,1.0,1.0,True,False,False,False,False,False,False,True,248.0,1,30,80,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,20,0.0
7538,35058191.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42674,-99.13967,Shared room,1,4.0,1.0,6.0,True,False,False,False,False,False,False,True,248.0,1,30,81,5,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,20,0.13
7539,35058408.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42812,-99.1381,Shared room,1,4.0,1.0,1.0,True,False,False,False,False,False,False,True,260.0,1,30,80,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,20,0.0
7543,35059441.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42636,-99.13998,Shared room,1,4.0,1.0,1.0,True,False,False,False,False,False,False,False,248.0,1,30,179,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,20,0.0
7546,35059850.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.4282,-99.13927,Shared room,1,4.0,1.0,1.0,True,False,False,False,False,False,False,True,260.0,1,30,80,2,2,5.0,5.0,5.0,5.0,5.0,4.5,4.5,True,20,0.18
7574,35232830.0,a few days or more,0.4,0.96,True,21,True,True,CuauhtÃ©moc,19.42663,-99.14002,Shared room,1,4.0,1.0,2.0,True,False,False,False,False,False,True,True,260.0,1,30,80,9,1,5.0,4.89,5.0,5.0,4.89,4.89,5.0,True,20,0.23
7580,35240912.0,a few days or more,0.0,0.0,False,1,True,False,Azcapotzalco,19.49764,-99.18717,Shared room,16,1.0,1.0,35.0,False,False,False,False,False,False,False,False,200.0,30,360,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
